Gene	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
DGKQ	291.434726	267.3293634	286.2829895	359.6315832	348.8912894	297.576079	287.7732978	353.0490147
DGKZ	485.7245433	402.0633626	341.2093771	371.232602	264.728917	432.108977	377.1180762	411.8905172
DGUOK	1244.349586	1245.754834	1293.266761	1351.072499	1227.240413	1329.291946	1332.899426	1338.644181
DHCR24	6568.146225	6514.281928	4603.829936	4379.830795	4175.983898	6535.982382	6056.744861	6028.579388
DHCR7	2278.431575	2183.54624	2043.095172	2148.865639	1842.390844	1980.573723	1916.757164	1977.876867
DHDDS	1101.188668	1004.089089	892.9699063	934.3282075	889.060698	1136.847535	1071.098448	1047.111282
DHDH	19.81244847	27.8022538	69.07409341	53.54316375	50.49742346	40.98353184	43.63349642	66.8653437
DHFR	4479.530689	4299.725481	3496.980006	3542.772668	3637.344714	4625.793419	4578.400446	4389.04116
DHFRL1	419.8960854	429.8656164	328.7261072	332.8600013	359.6028641	334.9958254	331.4067943	322.2909566
DHH	3.195556206	4.277269815	1.664435986	4.461930313	3.060449907	0.890946344	1.038892772	4.011920622
DHODH	239.0276042	241.6657445	234.685474	254.3300278	247.8964425	277.9752594	251.4120508	243.3898511
DHPS	917.7637422	959.177756	1215.03827	1438.526333	1150.729165	1120.810501	1110.576373	1073.85742
DHRS1	247.3360503	237.3884747	289.6118615	273.0701351	272.3800417	241.4464593	246.217587	246.0644648
DHRS11	341.924514	356.0827121	481.0219999	493.4894926	437.6443367	391.1254451	387.507004	427.9381997
DHRS12	75.41512645	82.33744394	79.89292731	82.99190382	78.04147263	49.00204894	64.41135186	65.52803682
DHRS13	663.3974683	702.5415671	617.5057507	742.465204	619.7411062	844.6171344	923.5756743	881.28523
DHRS2	1344.05094	1017.990216	297.9340414	287.3483121	273.9102667	389.3435525	367.7680413	335.6640254
DHRS3	254.366274	297.2702521	333.7194151	360.5239693	319.8170153	269.9567423	280.5010484	345.0251735
DHRS4	194.9289285	176.4373799	168.1080346	161.5218773	146.9015955	169.2798054	154.795023	175.1872005
DHRS4L1	12.14311358	12.83180944	8.322179928	9.816246688	3.060449907	10.69135613	3.116678316	10.69845499
DHRS4L2	160.4169215	174.298745	175.5979965	158.8447191	140.7806957	143.4423614	142.3283098	165.8260524
DHRS7	619.2987926	592.4018694	809.748107	807.6093866	930.3767717	566.641875	542.302027	541.609284
DHRS7B	619.2987926	597.7484566	479.3575639	518.4763023	413.1607374	437.454655	401.01261	417.2397447
DHRS7C	0	1.069317454	0	0	0	0	0	0
DHRS9	5.75200117	5.346587269	7.489961936	4.461930313	3.060449907	2.672839033	5.19446386	2.674613748
DHRSX	0	0	0	0	0	0	0	0
DHTKD1	1730.07413	1739.779497	2155.444601	2219.364138	2168.328759	1661.614932	1788.973353	1913.686137
DHX15	9140.56897	9180.09034	7810.365863	7732.525232	8113.252703	9544.708186	9465.352046	8933.209918
DHX16	2840.210356	2664.739095	2035.60521	2031.070678	1782.712071	2503.559227	2413.347909	2621.121473
DHX29	1834.249262	1733.363592	1599.522982	1531.334483	1681.717224	1442.442131	1529.25016	1438.942196
DHX30	5275.863295	5006.544318	3715.02112	4036.262161	3410.871421	4675.686415	4753.973325	4665.863683
DHX32	820.6188336	959.177756	1101.856623	1208.290729	1214.998613	1045.971008	1145.898728	1170.143515
DHX33	3361.086017	3180.150107	2314.398238	2246.135719	2136.194035	2757.478936	2742.676918	2742.816399
DHX34	2717.500997	2497.925572	1460.542577	1560.783223	1456.774156	2429.610681	2351.014343	2285.457448
DHX35	681.292583	629.8279802	505.9885396	495.2742647	508.0346846	457.946421	478.9295679	474.7439403
DHX36	3263.941108	3195.120552	2956.038311	2887.761298	3179.807453	3307.19283	3199.789738	3049.059673
DHX37	2357.681368	2073.406543	1118.500982	1126.191211	1068.097018	1918.207479	1829.490172	1770.594301
DHX38	2426.066271	2321.488192	1825.886276	1850.808694	1657.233625	2081.25066	2122.457933	2020.670687
DHX40	4923.713002	4732.79905	3889.786899	3812.273259	3925.027006	4316.635038	4455.811099	4319.501203
DHX57	1985.079515	1953.642988	1603.684072	1525.087781	1582.252602	1612.612883	1631.061652	1599.419021
DHX58	17.25600351	7.485222176	24.13432179	14.278177	16.83247449	22.27365861	28.05010484	20.05960311
DHX8	2965.476159	2827.275348	2691.392989	2681.620118	2570.777922	2778.861648	2793.582664	2764.213309
DHX9	11350.61564	10435.46903	6771.757808	6307.38469	6527.939652	8986.975775	8987.461371	8985.364886
DIABLO	1578.604766	1468.172864	1202.555	1266.295823	1251.724012	1312.363965	1288.227037	1265.092303
DIAPH1	5011.271242	4932.761414	4036.257265	3847.968702	3698.553713	4646.285185	4554.505912	4672.550218
DIAPH2	646.780576	707.8881544	863.0100586	773.6987162	899.7722726	663.7550265	794.7529706	730.1695532
DIAPH3	1137.618009	1074.664041	1106.84993	1051.230782	1236.421762	987.1685495	1029.542737	1005.654769
DICER1	4286.519094	4460.123099	4355.828975	3845.291544	4456.015065	4942.079372	5140.441436	4668.538297
DICER1-AS1	129.1004707	164.6748879	236.34991	248.9757115	241.7755426	161.2612883	150.6394519	184.5483486
DIDO1	3552.180278	3540.510089	3226.509158	3328.600013	3227.244427	3212.752517	3251.734376	3276.401841
DIEXF	1940.980839	1841.364655	1456.381487	1324.300917	1395.565158	1681.215752	1654.956186	1539.240212
DIMT1	802.0846076	728.205186	794.7681832	815.6408612	849.2748492	771.5595341	748.0027958	742.2053151
DIO1	0	0	0.832217993	1.784772125	0	0	2.077785544	0
DIO2	11.50400234	17.10907926	14.14770588	7.1390885	9.181349721	24.94649764	33.2445687	22.73421686
DIO3	5.112889929	1.069317454	0	0	0	3.563785377	0	0
DIO3OS	0	0	0	0	0	0	1.038892772	0
DIP2A	1097.993112	1038.307248	1180.085114	1228.815608	1166.031415	1067.35372	1065.903984	1155.433139
DIP2B	2016.395966	1892.691893	1574.556442	1426.032928	1609.796651	1619.740454	1739.1065	1644.887455
DIP2C	1193.859798	1113.159469	1038.608055	1080.679522	1017.599594	1037.061545	1034.737201	1103.278171
DIRAS1	579.6738957	657.630234	746.4995396	748.7119065	613.6202063	661.0821875	624.374556	623.1850033
DIRAS2	8.947557376	14.97044435	27.46319376	34.80305644	44.37652365	40.09258549	30.12789039	36.1072856
DIRAS3	5.112889929	5.346587269	5.82552595	2.677158188	9.181349721	6.23662441	6.233356632	5.349227496
DIRC1	0	0	0	0	0	0	0	0
DIRC2	481.2507646	527.1735047	411.1156885	444.4082592	472.8395106	409.8353184	409.3237522	441.3112684
DIRC3	31.31645081	41.70338069	36.61759169	47.29646132	39.78584879	34.74690743	34.28346148	38.78189935
DIS3	7800.991809	7612.470953	6675.220521	6169.957236	7585.325094	6912.852685	6935.648146	6682.522449
DIS3L	1492.324748	1548.371673	1260.810259	1150.285635	1149.19894	1701.707518	1617.556046	1686.343968
DIS3L2	541.3272212	631.9666151	540.9416953	552.3869727	555.4716581	562.1871432	623.3356632	655.2803682
DISC1	6.391112411	10.69317454	5.82552595	5.354316375	9.181349721	8.018517099	4.155571088	2.674613748
DISC2	0	0	0	0	0	0	0	0
DISP1	236.4711592	241.6657445	265.4775397	267.7158188	261.668467	273.5205277	238.9453376	278.1598298
DISP2	77.33246018	101.5851581	47.43642559	53.54316375	52.02764842	90.87652712	69.60581572	85.58763993
DIXDC1	396.8880807	422.3803942	768.9694254	738.0032737	785.0054011	792.0513001	916.3034249	866.5748543
DKC1	4992.097904	4952.009128	3635.128193	3546.342213	3459.83862	4223.976618	4089.081951	3989.186405
DKFZP434A062	7.669334893	7.485222176	9.986615914	18.74010731	9.181349721	10.69135613	14.54449881	10.69845499
DKFZP434H168	0	0	0	0	0	0	0	0
DKFZP434I0714	313.1645081	345.3895376	500.9952317	513.121986	518.7462592	335.8867718	337.6401509	351.7117079
DKFZP434K028	0	2.138634907	0.832217993	1.784772125	0	0	0	1.337306874
DKFZP434L187	13.42133606	14.97044435	22.46988581	13.38579094	18.36269944	19.60081957	8.311142176	12.03576187
DKFZP564C196	30.67733957	24.59430144	26.63097577	26.77158188	32.13472402	11.58230248	17.66117712	6.68653437
DKFZP586I1420	283.1262798	305.8247918	286.2829895	278.4244515	381.0260134	334.9958254	310.6289388	318.279036
DKFZP686I15217	58.79823418	74.85222176	116.510519	107.9787136	93.34372216	49.89299528	57.13910246	65.52803682
DKFZp434J0226	7.030223652	3.207952361	2.496653979	1.784772125	1.530224953	8.018517099	7.272249404	9.361148118
DKFZp434L192	0	0	0	0	0	0	0	0
DKFZp451B082	0	0	0	0.892386063	0	0	0	1.337306874
DKFZp566F0947	0	0	0	0	0	0	0	0
DKFZp686D0853	1.917333723	4.277269815	2.496653979	8.031474563	0	2.672839033	9.350034948	10.69845499
DKFZp686K1684	12.14311358	3.207952361	12.48326989	16.95533519	16.83247449	13.36419516	11.42782049	16.04768249
DKFZp686O1327	0	0	0	0	0	0.890946344	1.038892772	0
DKFZp779M0652	0.639111241	1.069317454	1.664435986	3.56954425	0	1.781892689	0	0
DKK1	33.23378454	36.35679343	47.43642559	44.61930313	41.31607374	23.16460495	37.40013979	32.09536498
DKK2	0	6.415904722	4.993307957	4.461930313	6.120899814	6.23662441	4.155571088	1.337306874
DKK3	58.15912294	79.12949158	155.6247647	155.2751749	130.069121	103.3497759	94.53924225	110.9964705
DKK4	0	0	0	0.892386063	0	0	0	0
DKKL1	2.556444964	4.277269815	9.986615914	9.816246688	9.181349721	6.23662441	7.272249404	12.03576187
DLAT	2842.766801	2903.196887	2812.896816	2616.475935	3120.12868	3480.036421	3493.796392	3284.425682
DLC1	1093.519334	1097.119708	1004.487117	1011.073409	1013.008919	1155.557409	1093.954089	1123.337774
DLD	4305.05332	4250.536879	3607.664999	3551.696529	3811.790359	4215.958101	4333.221752	4027.968304
DLEC1	1.278222482	4.277269815	2.496653979	1.784772125	4.59067486	3.563785377	4.155571088	0
DLEU1	217.297822	194.6157766	208.0544982	254.3300278	226.4732931	250.3559227	243.1009086	258.1002267
DLEU2	172.5600351	161.4669355	104.8594671	107.0863275	134.6597959	122.9505955	131.939382	133.7306874
DLEU2L	94.58846369	103.723793	83.22179928	69.60611288	94.87394712	67.71192217	84.15031453	60.17880933
DLEU7	0	0	0.832217993	0	0	0	0	0
DLG1	2353.20759	2234.873478	2125.484754	1939.154914	2175.979884	1965.427635	1954.157304	1980.55148
DLG2	28.76000585	20.31703162	34.12093771	30.34112613	30.60449907	18.70987323	25.9723193	24.07152373
DLG3	3008.296612	3262.487551	4886.784054	4857.257338	4673.307008	5240.546397	5134.208079	5286.374073
DLG4	255.6444964	301.5475219	501.8274497	497.0590368	452.9465862	424.9814062	418.6737871	466.720099
DLG5	2801.863681	2827.275348	2118.82701	2096.214861	2006.124914	2129.361763	2226.34721	2219.929411
DLGAP1	11.50400234	5.346587269	10.81883391	8.923860626	9.181349721	4.454731721	11.42782049	8.023841244
DLGAP2	13.42133606	8.55453963	9.986615914	14.278177	15.30224953	6.23662441	10.38892772	6.68653437
DLGAP3	45.37689812	54.53519014	62.41634946	82.99190382	55.08809833	21.38271226	35.32235425	28.08344435
DLGAP4	1100.549557	1139.892406	1047.762453	1149.393249	973.2230704	999.6417983	1103.304124	1073.85742
DLGAP5	3235.181103	3314.884107	2681.406373	2493.326659	3213.472402	2517.814369	2674.109995	2626.4707
DLK1	0	0	0	0	0	0	1.038892772	0
DLK2	57.5200117	68.43631704	42.44311764	43.72691707	39.78584879	47.22015625	51.9446386	53.49227496
DLL1	325.946733	391.3701881	614.1768787	663.9352305	592.197057	378.6521963	377.1180762	343.6878666
DLL3	187.2595936	178.5760148	206.3900622	223.0965156	240.2453177	269.9567423	234.7897665	266.1240679
DLL4	67.10668032	62.02041232	61.58413147	58.00509407	55.08809833	46.3292099	54.02242414	58.84150246
DLST	2003.613741	1936.533909	1770.127671	1796.373144	1730.684422	1629.540864	1580.155906	1594.069794
DLX1	552.8312236	565.668933	515.1429376	501.5209672	445.2954615	561.2961969	536.0686704	529.5735221
DLX2	2040.682193	1723.739735	1512.972311	1683.9325	1420.048757	1454.024434	1479.383307	1333.294953
DLX3	61.99379039	58.81245995	81.5573633	88.34622019	68.86012291	64.14813679	66.48913741	58.84150246
DLX4	224.3280456	282.2998078	405.2901625	414.9595191	328.998365	375.0884109	348.0290786	335.6640254
DLX5	123.9875808	133.6646817	143.1414948	128.503593	145.3713706	103.3497759	122.5893471	137.742608
DLX6	196.8462623	204.2396337	248.0009619	218.6345853	247.8964425	244.1192983	243.1009086	252.7509992
DLX6-AS1	77.97157142	97.30788829	108.1883391	58.00509407	68.86012291	79.29422464	77.9169579	77.56379869
