entrezgene_id,mgi_symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B,neg_log10_p
13138,Dag1,9,1.5760183180789922,9.031875538537498,8.410486383065829,8.349374731296961e-6,7.334056429595436e-5,3.7553433067226054,5.078346046781684
74694,Tbc1d30,10,-3.307108119959468,3.2768732338883426,-8.180508092476947,1.0632611547990758e-5,8.875129203140193e-5,3.753872928666402,4.973360052355041
22152,Tubb3,8,3.360801744917742,-0.8589652480726333,8.027284175027864,1.2527157900151803e-5,1.0053665249611913e-4,3.753517075505852,4.902147448422242
17096,Lyn,4,-3.018056486550912,4.830032432247265,-8.364422458509843,8.759974757159856e-6,7.603250149213809e-5,3.750500961216737,5.057497145297899
93879,Pcdhb8,18,2.598772024241309,0.0931776557582995,8.06161640044916,1.207276445139876e-5,9.800040599086732e-5,3.7503452319051966,4.918193272692965
23994,Dazap2,15,-0.8718925555278224,7.856806768039538,-8.487337061724082,7.710236915034897e-6,6.85166285454638e-5,3.744864544345523,5.112932277031852
12752,Cln3,7,-1.5335424538938032,4.113780891323313,-8.367143088586221,8.735122530837748e-6,7.590982248424336e-5,3.7434510777554015,5.058730998626847
12223,Btc,5,-4.950183151614601,2.7753245455782594,-8.040714086984382,1.2347232452393999e-5,9.948722849155915e-5,3.7348632910484314,4.9084303756307035
67849,Cdca5,19,2.0731678223304373,1.560727809962657,8.169644410488957,1.075611003610532e-5,8.948269793332938e-5,3.734172005573127,4.9683447635490605
27373,Csnk1e,15,-0.9589702032172762,6.43716112078087,-8.511280648234,7.522150183790102e-6,6.726720792511792e-5,3.732221324298626,5.123657999903225
213311,Fbxl21,13,2.209665275098669,-0.7795870147066326,8.003187074942867,1.2857186707307556e-5,1.0271971218782376e-4,3.728451704355523,4.890854049386436
66844,Ormdl2,10,-2.2618306978060962,3.1382415870489875,-8.200956218510226,1.0404321936846684e-5,8.715388541421246e-5,3.727852683474973,4.9827862180647
100042150,Nrg2,18,4.831344678736022,1.2155729986219541,8.11298495718703,1.1426034394882217e-5,9.404403091429784e-5,3.7277341838139506,4.942104472951378
53614,Reck,4,1.987565750323872,3.8809466965820043,8.404464973521238,8.401836806397404e-6,7.364605096696733e-5,3.7275894277962083,5.07562575826213
71746,Rgl3,9,-1.3958303447963611,4.790539195531285,-8.429296951068741,8.187770572796338e-6,7.21267227385946e-5,3.727339979617108,5.086834335081895
70615,Ankrd24,10,-1.5467981742439298,4.697908763723275,-8.406023976268433,8.3882195041579e-6,7.357221627021465e-5,3.718152842138135,5.076330213376314
331474,Rtl5,X,2.429820391763962,4.069681325202582,8.396752421070397,8.469558101045243e-6,7.405635216129993e-5,3.7151950781888665,5.072139248380519
108655,Foxp1,6,1.2038705069994653,6.895926346067887,8.458617214543041,7.942628375593629e-6,7.022929521865403e-5,3.7131907857197053,5.100035757003004
18718,Pip4k2a,2,1.8930075758882934,3.087087036534082,8.311418701614294,9.259835547614618e-6,7.939804511619919e-5,3.7063494443814644,5.033396726211987
319530,Zfp750,11,-4.767275159552933,3.8022134952210376,-8.101443238312518,1.1567990554933076e-5,9.493660846502144e-5,3.703905804038693,4.936742074643434
78388,Mvp,7,-1.6998022355659153,7.718024368507161,-8.462533039666173,7.91049842551816e-6,7.003263137341546e-5,3.702565724692443,5.10179615156774
14169,Fgf14,14,4.640195167818935,-1.87320562817684,7.97326045290288,1.3280284001015808e-5,1.0544575273228078e-4,3.697331660618368,4.876792637411135
100041012,Gm3095,14,3.4255743587845546,-1.1338057832516184,7.968907757928678,1.3343072910644984e-5,1.0588494553461412e-4,3.6962273756432005,4.874744140850397
