entrezgene_id,mgi_symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val
27375,Tjp3,10,-5.479309953143066,5.2276284833443585,-24.476782822395204,4.690727251938899e-9,3.3422622978672517e-6
20743,Sptbn2,19,-4.982488089769509,5.4264242749752665,-24.279870698263274,4.9319086083230654e-9,3.3422622978672517e-6
20750,Spp1,5,-8.520737671120084,8.898951316169665,-24.549836952187476,5.023220992014139e-9,3.3422622978672517e-6
13136,Cd55,1,-5.2334009818950165,5.340890906888394,-24.223798490995488,5.055796624748848e-9,3.3422622978672517e-6
17436,Me1,9,-3.714991634438935,5.367340821615665,-23.9746026060841,5.303764522304511e-9,3.3422622978672517e-6
14555,Gpd1,15,-4.53862893529896,5.003394884525625,-23.95341959920083,5.426899601196385e-9,3.3422622978672517e-6
234779,Plcg2,8,-4.223523887478404,5.302391035028223,-23.674941797902957,5.908996838301571e-9,3.3432471245547035e-6
71740,Nectin4,1,-4.419140619373559,5.1662924166541435,-23.54320955187643,6.1995369061691756e-9,3.3432471245547035e-6
78896,Ecrg4,1,5.449916420482043,3.1080252855661734,23.580492317831737,6.284806579617033e-9,3.3432471245547035e-6
21804,Tgfb1i1,7,5.135846072462655,3.7492547737485378,23.513233317404357,6.37258541214098e-9,3.3432471245547035e-6
18260,Ocln,13,-5.8435791396040955,5.105166004717613,-23.457757519920364,6.6223876435708735e-9,3.3502186061136223e-6
227960,Gca,2,-5.538273259174947,3.8601154471375967,-23.231647317958792,7.083444325857651e-9,3.4598961681301248e-6
14245,Lpin1,12,-3.7967854000376944,6.295342280094966,-22.744016069291753,8.034348656727889e-9,3.563628860710137e-6
16878,Lif,11,-4.824105092965703,8.229465749160795,-22.79170476414085,8.075502577868701e-9,3.563628860710137e-6
108153,Adamts7,9,4.20653427181095,4.154382693042826,22.73881551881355,8.109769894188891e-9,3.563628860710137e-6
20661,Sort1,3,-3.7859448409514327,6.705784108060852,-22.648717486265664,8.30213571503244e-9,3.563628860710137e-6
15439,Hp,8,-6.370274626312397,5.7671229953566305,-22.630973951764584,8.918635633665048e-9,3.6126165793397204e-6
269132,Colgalt2,1,5.030151368135819,3.257753091999874,22.461530568981633,9.103506923504107e-9,3.6126165793397204e-6
18826,Lcp1,14,-4.216941615173923,5.46183092273906,-22.382752611246204,9.181376410605713e-9,3.6126165793397204e-6
73341,Arhgef6,X,-4.415457795029669,6.825453214666671,-22.249562367973088,9.662243300464077e-9,3.6428412173372703e-6
224912,Crb3,17,-3.9418206931720894,4.461541529418216,-22.19056433854115,9.772535563629812e-9,3.6428412173372703e-6
320405,Cadps2,6,-3.912685521701781,5.376401560595671,-22.080513745095843,1.0155994780837089e-8,3.688709386424548e-6
75767,Rab11fip1,8,-4.431622311862025,7.225445884463872,-21.916726724230823,1.0879004709509079e-8,3.770662394797934e-6
12994,Csn3,5,-7.492443553908081,9.24903896676741,-22.15385083572754,1.0914024580777642e-8,3.770662394797934e-6
105853,Mal2,15,-5.425666591956649,4.750658149145601,-21.688544579889005,1.2111541161183824e-8,4.056771144071749e-6
108927,Lhfp,3,4.374500696272211,4.382924546816761,21.395901436932984,1.3120400033341362e-8,4.056771144071749e-6
66871,Cpne8,15,4.657153144235714,4.313707229378783,21.362018043561676,1.3370346224859303e-8,4.056771144071749e-6
21345,Tagln,9,6.1662881725665635,6.9218034912804445,21.42640901364596,1.361487377920526e-8,4.056771144071749e-6
229722,Elapor1,3,-6.558620128064193,3.289321546425848,-21.36808874910314,1.407634805278894e-8,4.056771144071749e-6
12231,Btn1a1,13,-7.707849526895451,7.803057757292375,-21.434155189278947,1.4236500706138813e-8,4.056771144071749e-6
13661,Ehf,2,-5.89708287092056,6.037221581873234,-21.2238425501372,1.4549883763254269e-8,4.056771144071749e-6
13497,Drp2,X,5.8836927420056995,1.6122900216155078,21.216559667017613,1.4583302272129085e-8,4.056771144071749e-6
192120,Bspry,4,-4.866541701717858,3.9269066539662383,-21.130204808255353,1.4638998129609712e-8,4.056771144071749e-6
170643,Kirrel,3,4.793359986594701,5.2967700858017155,21.106150177546535,1.474325857878454e-8,4.056771144071749e-6
214531,Tmprss13,9,-5.332435334267416,4.4917957350964794,-21.11720011756237,1.4892488492180088e-8,4.056771144071749e-6
72281,Sh2d4a,8,-5.786559752895831,2.4586021360390413,-20.801085216987616,1.6979176372080606e-8,4.508122307240643e-6
320007,Sidt1,16,-6.311450986326424,3.4529168035458535,-20.810689021952307,1.7185923373878905e-8,4.508122307240643e-6
14962,Cfb,17,-3.6320267665294614,4.083101076326848,-20.54139382354778,1.7808873711356725e-8,4.54561773186538e-6
233066,Syne4,7,-4.100756851164309,4.725367096113251,-20.538882362344445,1.797067370169158e-8,4.54561773186538e-6
72043,Sulf2,2,-4.1767676635554984,6.729257495697472,-20.42428005514047,1.880350976873344e-8,4.592807282037357e-6
100038347,Fam174b,7,-4.742356060011057,4.68589369526386,-20.35092266716555,1.958731583627521e-8,4.592807282037357e-6
14119,Fbn2,18,5.031802023142742,3.8420094503523567,20.349384198483207,1.974339237301326e-8,4.592807282037357e-6
216892,Spns2,11,-5.632437248994421,6.546213024088919,-20.383204728805847,1.9814664004802453e-8,4.592807282037357e-6
